city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Batangas,13.7500,121.0500,Philippines,PH,Batangas,admin,329874,329874
San Pedro,14.3583,121.0583,Philippines,PH,Laguna,,325809,325809
Cainta,14.5667,121.1167,Philippines,PH,Rizal,,322128,322128
Taytay,14.5692,121.1325,Philippines,PH,Rizal,,319104,319104
General Trias,14.3833,120.8833,Philippines,PH,Cavite,,314303,314303
Cabuyao,14.2750,121.1250,Philippines,PH,Laguna,,308745,308745
San Fernando,15.0333,120.6833,Philippines,PH,Pampanga,admin,306659,306659
Cabanatuan City,15.4833,120.9667,Philippines,PH,Nueva Ecija,,302231,302231
Cotabato,7.2167,124.2500,Philippines,PH,Cotabato,admin,299438,299438
Binangonan,14.4514,121.1919,Philippines,PH,Rizal,,282474,282474
Lucena,13.9333,121.6167,Philippines,PH,Lucena,admin,266248,266248
San Pablo,14.0700,121.3250,Philippines,PH,Laguna,,266068,266068
Tagum,7.4478,125.8078,Philippines,PH,Davao del Norte,admin,259444,259444
Santa Maria,14.8183,120.9563,Philippines,PH,Bulacan,,256454,256454
Puerto Princesa,9.7500,118.7500,Philippines,PH,Puerto Princesa,admin,255116,255116
San Mateo,14.6969,121.1219,Philippines,PH,Rizal,,252527,252527
Malolos,14.8433,120.8114,Philippines,PH,Bulacan,admin,252074,252074
Mabalacat,15.2167,120.5833,Philippines,PH,Pampanga,,250799,250799
Navotas,14.6667,120.9417,Philippines,PH,Navotas,admin,249463,249463
Silang,14.2306,120.9750,Philippines,PH,Cavite,,248085,248085
Tacloban,11.2444,125.0039,Philippines,PH,Tacloban,admin,242089,242089
Olongapo,14.8333,120.2833,Philippines,PH,Olongapo,admin,233040,233040
Talisay,10.2500,123.8333,Philippines,PH,Cebu,,227645,227645
Tanza,14.3944,120.8531,Philippines,PH,Cavite,,226188,226188
Marilao,14.7581,120.9481,Philippines,PH,Bulacan,,221965,221965
Ormoc,11.0167,124.6167,Philippines,PH,Ormoc,admin,215031,215031
Meycauayan,14.7333,120.9500,Philippines,PH,Bulacan,,209083,209083
Marawi City,8.0000,124.3000,Philippines,PH,Lanao del Sur,admin,201785,201785
Pagadian,7.8333,123.4333,Philippines,PH,Zamboanga del Sur,admin,199060,199060
Legazpi City,13.1333,123.7333,Philippines,PH,Albay,admin,196639,196639
Naga City,13.6167,123.1667,Philippines,PH,Naga,admin,196003,196003
Valencia,7.9000,125.0833,Philippines,PH,Bukidnon,,192993,192993
San Carlos City,15.9281,120.3489,Philippines,PH,Pangasinan,,188571,188571
Panabo,7.3000,125.6833,Philippines,PH,Davao del Norte,,184599,184599
Calbayog City,12.0667,124.6000,Philippines,PH,Samar,,183851,183851
Kabankalan,9.9833,122.8167,Philippines,PH,Negros Occidental,,181977,181977
Santo Tomas,14.0833,121.1833,Philippines,PH,Batangas,,179844,179844
Koronadal,6.5000,124.8500,Philippines,PH,South Cotabato,,174942,174942
Malaybalay,8.1575,125.1278,Philippines,PH,Bukidnon,admin,174625,174625
Tanauan,14.0833,121.1500,Philippines,PH,Batangas,,173366,173366
Dagupan City,16.0333,120.3333,Philippines,PH,Dagupan,admin,171271,171271
Bago,10.5388,122.8384,Philippines,PH,Negros Occidental,,170981,170981
Toledo,10.3833,123.6500,Philippines,PH,Cebu,,170335,170335
Digos,6.7500,125.3500,Philippines,PH,Davao del Sur,admin,169393,169393
Sorsogon,12.9667,124.0000,Philippines,PH,Sorsogon,admin,168110,168110
Roxas City,11.5833,122.7500,Philippines,PH,Capiz,admin,167003,167003
Lubao,14.9333,120.6000,Philippines,PH,Pampanga,,160838,160838
Trece Martires City,14.2833,120.8667,Philippines,PH,Cavite,admin,155713,155713
General Mariano Alvarez,14.3000,121.0000,Philippines,PH,Cavite,,155143,155143
Cadiz,10.9500,123.3000,Philippines,PH,Negros Occidental,,154723,154723
Mexico,15.0667,120.7167,Philippines,PH,Pampanga,,154624,154624
Pikit,7.0500,124.6667,Philippines,PH,Cotabato,,154441,154441
Concepcion,15.3249,120.6554,Philippines,PH,Tarlac,,154188,154188
Surigao,9.7833,125.4833,Philippines,PH,Surigao del Norte,admin,154137,154137
San Miguel,15.1458,120.9783,Philippines,PH,Bulacan,,153882,153882
Tuguegarao,17.6167,121.7167,Philippines,PH,Cagayan,admin,153502,153502
Polomolok,6.2167,125.0667,Philippines,PH,South Cotabato,,152589,152589
Midsayap,7.1917,124.5333,Philippines,PH,Cotabato,,151684,151684
Baliuag,14.9500,120.9000,Philippines,PH,Bulacan,,149954,149954
Sariaya,13.9667,121.5333,Philippines,PH,Quezon,,148980,148980
Sagay,10.9000,123.4167,Philippines,PH,Negros Occidental,,146264,146264
Ilagan,17.1333,121.8833,Philippines,PH,Isabela,admin,145568,145568
San Jose,12.3528,121.0676,Philippines,PH,Occidental Mindoro,,143430,143430
Ozamiz City,8.1500,123.8500,Philippines,PH,Misamis Occidental,,141828,141828
Mati,6.9500,126.2333,Philippines,PH,Davao Oriental,admin,141141,141141
Capas,15.3312,120.5898,Philippines,PH,Tarlac,,140202,140202
Kidapawan,7.0083,125.0894,Philippines,PH,Cotabato,admin,140195,140195
San Jose,15.7833,121.0000,Philippines,PH,Nueva Ecija,,139738,139738
Danao,10.5333,123.9333,Philippines,PH,Cebu,,136471,136471
Santiago,16.6833,121.5500,Philippines,PH,Santiago,admin,134830,134830
Nasugbu,14.0667,120.6333,Philippines,PH,Batangas,,134113,134113
Calapan,13.3667,121.2000,Philippines,PH,Oriental Mindoro,admin,133893,133893
Tabaco,13.3500,123.7333,Philippines,PH,Albay,,133868,133868
Arayat,15.1493,120.7692,Philippines,PH,Pampanga,,133492,133492
Urdaneta,15.9761,120.5711,Philippines,PH,Pangasinan,,132940,132940
San Carlos,10.4929,123.4095,Philippines,PH,Negros Occidental,,132536,132536
Minglanilla,10.2450,123.7964,Philippines,PH,Cebu,,132135,132135
Consolacion,10.4000,123.9500,Philippines,PH,Cebu,,131528,131528
Dumaguete City,9.3103,123.3081,Philippines,PH,Negros Oriental,admin,131377,131377
Dipolog,8.5667,123.3333,Philippines,PH,Zamboanga del Norte,admin,130759,130759
Malasiqui,15.9167,120.4167,Philippines,PH,Pangasinan,,130275,130275
Hagonoy,14.8333,120.7333,Philippines,PH,Bulacan,,129807,129807
Calabayan,16.7667,121.7833,Philippines,PH,Isabela,,129523,129523
La Trinidad,16.4621,120.5877,Philippines,PH,Benguet,admin,129133,129133
Mariveles,14.4333,120.4833,Philippines,PH,Bataan,,127536,127536
Silay,10.8000,122.9667,Philippines,PH,Negros Occidental,,126930,126930
Daraga,13.1619,123.6939,Philippines,PH,Albay,,126595,126595
Jolo,6.0500,121.0000,Philippines,PH,Sulu,admin,125564,125564
Floridablanca,14.9333,120.5000,Philippines,PH,Pampanga,,125163,125163
Talavera,15.5839,120.9189,Philippines,PH,Nueva Ecija,,124829,124829
Gingoog,8.8167,125.1000,Philippines,PH,Misamis Oriental,,124648,124648
Porac,15.0719,120.5419,Philippines,PH,Pampanga,,124381,124381
San Juan,14.6000,121.0333,Philippines,PH,San Juan,admin,122180,122180
San Fernando,16.6167,120.3167,Philippines,PH,La Union,admin,121812,121812
Bocaue,14.8000,120.9333,Philippines,PH,Bulacan,,119675,119675
Carcar,10.1167,123.6333,Philippines,PH,Cebu,,119664,119664
Poblacion,10.4167,123.9667,Philippines,PH,Cebu,,118753,118753
Santo Tomas,7.5333,125.6167,Philippines,PH,Davao del Norte,,118750,118750
Guimba,15.6581,120.7689,Philippines,PH,Nueva Ecija,,118655,118655
Glan,5.8167,125.2000,Philippines,PH,Sarangani,,118263,118263
Bayawan,9.3667,122.8000,Philippines,PH,Negros Oriental,,117900,117900
Tanay,14.4972,121.2864,Philippines,PH,Rizal,,117830,117830
Malita,6.4000,125.6000,Philippines,PH,Davao Occidental,admin,117746,117746
Santa Cruz,14.2833,121.4167,Philippines,PH,Laguna,,117605,117605
Candelaria,13.9311,121.4233,Philippines,PH,Quezon,minor,117434,117434
Guagua,14.9667,120.6333,Philippines,PH,Pampanga,,117430,117430
Rosario,13.8460,121.2060,Philippines,PH,Batangas,,116764,116764
Naga,10.2167,123.7500,Philippines,PH,Cebu,,115750,115750
Angono,14.5234,121.1536,Philippines,PH,Rizal,,113283,113283
Magalang,15.2167,120.6667,Philippines,PH,Pampanga,minor,113147,113147
City of Isabela,6.7000,121.9667,Philippines,PH,Basilan,admin,112788,112788
Los Baños,14.1667,121.2167,Philippines,PH,Laguna,,112008,112008
Iriga City,13.4167,123.4167,Philippines,PH,Camarines Sur,,111757,111757
Candaba,15.0933,120.8283,Philippines,PH,Pampanga,,111586,111586
Naic,14.3167,120.7667,Philippines,PH,Cavite,,111454,111454
Ligao,13.2167,123.5167,Philippines,PH,Albay,,111399,111399
Norzagaray,14.9167,121.0500,Philippines,PH,Bulacan,,111348,111348
Laoag,18.1951,120.5918,Philippines,PH,Ilocos Norte,admin,111125,111125
Rosario,14.4167,120.8500,Philippines,PH,Cavite,,110706,110706
Tabuk,17.4500,121.4583,Philippines,PH,Kalinga,,110642,110642
Gapan,15.3075,120.9453,Philippines,PH,Nueva Ecija,,110303,110303
Baybay,10.6833,124.8000,Philippines,PH,Leyte,,109432,109432
Calumpit,14.9167,120.7667,Philippines,PH,Bulacan,,108757,108757
Libmanan,13.7000,123.0667,Philippines,PH,Camarines Sur,,108716,108716
San Juan,13.8260,121.3960,Philippines,PH,Batangas,minor,108585,108585
Apalit,14.9496,120.7587,Philippines,PH,Pampanga,,107965,107965
Plaridel,14.8869,120.8569,Philippines,PH,Bulacan,,107805,107805
Himamaylan,10.1000,122.8667,Philippines,PH,Negros Occidental,,106880,106880
Dinalupihan,14.8833,120.4667,Philippines,PH,Bataan,,106371,106371
Mangaldan,16.0700,120.4025,Philippines,PH,Pangasinan,,106331,106331
Tagbilaran City,9.6500,123.8500,Philippines,PH,Bohol,minor,105051,105051
Daet,14.1167,122.9500,Philippines,PH,Camarines Norte,admin,104799,104799
Subic,14.9000,120.2333,Philippines,PH,Zambales,,104771,104771
San Ildefonso,15.0789,120.9419,Philippines,PH,Bulacan,,104471,104471
Samal,7.0500,125.7333,Philippines,PH,Davao del Norte,,104123,104123
Quezon,7.7333,125.1000,Philippines,PH,Bukidnon,,104116,104116
Catbalogan,11.7833,124.8833,Philippines,PH,Samar,admin,103879,103879
Maluñgun,6.2667,125.2833,Philippines,PH,Sarangani,,103604,103604
Lingayen,16.0167,120.2333,Philippines,PH,Pangasinan,admin,103278,103278
Bayugan,8.7143,125.7481,Philippines,PH,Agusan del Sur,,103202,103202
Naujan,13.3233,121.3028,Philippines,PH,Oriental Mindoro,,102998,102998
Cavite City,14.4833,120.9000,Philippines,PH,Cavite,,102806,102806
Talisay,10.7333,122.9667,Philippines,PH,Negros Occidental,,102214,102214
Cawayan,9.9667,122.6167,Philippines,PH,Negros Occidental,,102165,102165
Maramag,7.7667,125.0000,Philippines,PH,Bukidnon,,102089,102089
Bongao,5.0292,119.7731,Philippines,PH,Tawi-Tawi,admin,100527,100527
Manolo Fortich,8.3697,124.8644,Philippines,PH,Bukidnon,,100210,100210
Bulan,12.6714,123.8750,Philippines,PH,Sorsogon,,100076,100076
Tayabas,14.0167,121.5833,Philippines,PH,Quezon,,99779,99779
Guiguinto,14.8333,120.8833,Philippines,PH,Bulacan,,99730,99730
Tiaong,13.9500,121.3167,Philippines,PH,Quezon,minor,99712,99712
Sindangan,8.2333,123.0000,Philippines,PH,Zamboanga del Norte,,99435,99435
Tacurong,6.6833,124.6667,Philippines,PH,Sultan Kudarat,,98316,98316
Carmona,14.3167,121.0500,Philippines,PH,Cavite,,97557,97557
Pulilan,14.9020,120.8490,Philippines,PH,Bulacan,,97323,97323
Balanga,14.6833,120.5333,Philippines,PH,Bataan,admin,96061,96061
Guihulñgan,10.1167,123.2667,Philippines,PH,Negros Oriental,,95969,95969
Carmen,7.2000,124.7833,Philippines,PH,Cotabato,,95921,95921
Masbate,12.3667,123.6167,Philippines,PH,Masbate,admin,95389,95389
Sultan Kudarat,7.2333,124.2500,Philippines,PH,Maguindanao,,95201,95201
Lopez,13.8840,122.2604,Philippines,PH,Quezon,,95167,95167
Calasiao,16.0167,120.3667,Philippines,PH,Pangasinan,,95154,95154
M’lang,6.9500,124.8833,Philippines,PH,Cotabato,,95070,95070
Monkayo,7.8167,126.0500,Philippines,PH,Compostela Valley,minor,94908,94908
San Rafael,14.9500,120.9667,Philippines,PH,Bulacan,,94655,94655
Bislig,8.1833,126.3500,Philippines,PH,Surigao del Sur,,94535,94535
Escalante,10.8333,123.5000,Philippines,PH,Negros Occidental,,94070,94070
Catarman,12.4500,124.6500,Philippines,PH,Northern Samar,admin,94037,94037
Lemery,13.9167,120.8833,Philippines,PH,Batangas,,93157,93157
Paniqui,15.6667,120.5833,Philippines,PH,Tarlac,,92606,92606
Bauan,13.7917,121.0085,Philippines,PH,Batangas,,91297,91297
Santa Cruz,6.8333,125.4167,Philippines,PH,Davao del Sur,,90987,90987
Balayan,13.9333,120.7333,Philippines,PH,Batangas,,90699,90699
Isulan,6.6333,124.6000,Philippines,PH,Sultan Kudarat,admin,90682,90682
Palimbang,6.2167,124.2000,Philippines,PH,Sultan Kudarat,,90424,90424
Alaminos,16.1553,119.9808,Philippines,PH,Pangasinan,,89708,89708
Pili,13.5833,123.3000,Philippines,PH,Camarines Sur,,89545,89545
Parang,7.3744,124.2686,Philippines,PH,Maguindanao,,89194,89194
Kabacan,7.1167,124.8167,Philippines,PH,Cotabato,,89161,89161
Oton,10.6931,122.4736,Philippines,PH,Iloilo,,89115,89115
Pandi,14.8667,120.9500,Philippines,PH,Bulacan,,89075,89075
Salaman,6.6333,124.0667,Philippines,PH,Sultan Kudarat,,88868,88868
Polangui,13.2922,123.4856,Philippines,PH,Albay,,88221,88221
Victorias,10.9000,123.0833,Philippines,PH,Negros Occidental,,87933,87933
Gerona,15.6000,120.6000,Philippines,PH,Tarlac,,87531,87531
Compostela,7.6667,126.0833,Philippines,PH,Compostela Valley,,87474,87474
Balamban,10.4667,123.7833,Philippines,PH,Cebu,,87177,87177
Pinamalayan,13.0000,121.4167,Philippines,PH,Oriental Mindoro,,86172,86172
Aroroy,12.5125,123.3989,Philippines,PH,Masbate,,86168,86168
Pongotan,7.1500,125.9500,Philippines,PH,Compostela Valley,,85899,85899
Hinigaran,10.2667,122.8500,Philippines,PH,Negros Occidental,,85602,85602
Maasin,10.1333,124.8500,Philippines,PH,Southern Leyte,admin,85560,85560
Surallah,6.3667,124.7333,Philippines,PH,South Cotabato,,84539,84539
Daanbantayan,11.3333,124.0167,Philippines,PH,Cebu,,84430,84430
Banga,6.3000,124.7833,Philippines,PH,South Cotabato,,83989,83989
Nabua,13.4083,123.3750,Philippines,PH,Camarines Sur,,83874,83874
Makilala,6.9667,125.0833,Philippines,PH,Cotabato,,83851,83851
Kawit,14.4333,120.9000,Philippines,PH,Cavite,,83466,83466
Camiling,15.7000,120.4167,Philippines,PH,Tarlac,,83248,83248
Sablayan,12.8370,120.7829,Philippines,PH,Occidental Mindoro,,83169,83169
Binmaley,16.0323,120.2690,Philippines,PH,Pangasinan,,83052,83052
Calabanga,13.7167,123.2333,Philippines,PH,Camarines Sur,,83033,83033
San Fabian,16.1500,120.4500,Philippines,PH,La Union,,83025,83025
Baggao,17.8894,121.8709,Philippines,PH,Cagayan,,82782,82782
Prosperidad,8.6057,125.9153,Philippines,PH,Agusan del Sur,admin,82631,82631
Solana,17.6500,121.6833,Philippines,PH,Cagayan,,82502,82502
Dapitan,8.6549,123.4243,Philippines,PH,Zamboanga del Norte,,82418,82418
Guinobatan,13.1833,123.6000,Philippines,PH,Albay,,82361,82361
Nabunturan,7.6078,125.9664,Philippines,PH,Compostela Valley,admin,82234,82234
Bolinao,16.3333,119.8833,Philippines,PH,Pangasinan,,82084,82084
Santa Barbara,16.0031,120.4008,Philippines,PH,Pangasinan,,82012,82012
Calaca,13.9667,120.8000,Philippines,PH,Batangas,,81859,81859
Science City of Muñoz,15.7167,120.9000,Philippines,PH,Nueva Ecija,,81483,81483
Murcia,10.6000,123.0333,Philippines,PH,Negros Occidental,,81286,81286
Maco,7.3619,125.8553,Philippines,PH,Compostela Valley,,81277,81277
Indanan,6.0000,120.9667,Philippines,PH,Sulu,,80883,80883
Calatrava,10.6000,123.4833,Philippines,PH,Negros Occidental,,80624,80624
Kalibo,11.7000,122.3667,Philippines,PH,Aklan,admin,80605,80605
Passi,11.1000,122.6333,Philippines,PH,Iloilo,,80544,80544
Tanjay,9.5167,123.1583,Philippines,PH,Negros Oriental,,80532,80532
Calauan,14.1500,121.3167,Philippines,PH,Laguna,,80453,80453
Alabel,6.1023,125.2868,Philippines,PH,Sarangani,admin,80359,80359
Talipao,5.9760,121.1087,Philippines,PH,Sulu,minor,80255,80255
Matalam,7.0833,124.9000,Philippines,PH,Cotabato,,79361,79361
Echague,16.7000,121.6500,Philippines,PH,Isabela,,79094,79094
Bantayan,11.2000,123.7333,Philippines,PH,Cebu,,79084,79084
Cabiao,15.2500,120.8500,Philippines,PH,Nueva Ecija,,79007,79007
Mabinay,9.7333,122.9167,Philippines,PH,Negros Oriental,,78864,78864
Bogo,11.0167,124.0000,Philippines,PH,Cebu,,78120,78120
San Antonio,15.3833,120.8000,Philippines,PH,Nueva Ecija,,77836,77836
Siaton,9.0667,123.0333,Philippines,PH,Negros Oriental,,77696,77696
Buhi,13.4333,123.5167,Philippines,PH,Camarines Sur,,77143,77143
Poblacion,6.8000,124.6333,Philippines,PH,Sultan Kudarat,minor,77013,77013
San Jose,13.8772,121.1050,Philippines,PH,Batangas,,76971,76971
Malapatan,5.9667,125.2833,Philippines,PH,Sarangani,,76914,76914
Bulacan,14.7928,120.8789,Philippines,PH,Bulacan,,76565,76565
Kapalong,7.5854,125.7052,Philippines,PH,Davao del Norte,,76334,76334
Jose Abad Santos,5.9167,125.6500,Philippines,PH,Davao Occidental,,76332,76332
Bais,9.5907,123.1213,Philippines,PH,Negros Oriental,,76291,76291
Macabebe,14.9081,120.7156,Philippines,PH,Pampanga,,75850,75850
Santa Catalina,9.3331,122.8658,Philippines,PH,Negros Oriental,,75756,75756
Batarasa,8.6667,117.6167,Philippines,PH,Palawan,,75468,75468
Libon,13.3000,123.4333,Philippines,PH,Albay,,75172,75172
Taytay,10.8167,119.5167,Philippines,PH,Palawan,,75165,75165
Pototan,10.9500,122.6333,Philippines,PH,Iloilo,,75070,75070
Bauang,16.5333,120.3333,Philippines,PH,La Union,,75032,75032
Pagbilao,13.9720,121.6870,Philippines,PH,Quezon,,75023,75023
Robles,10.3500,123.0667,Philippines,PH,Negros Occidental,,74855,74855
Lamitan,6.6500,122.1333,Philippines,PH,Basilan,,74782,74782
Carmen,7.3606,125.7064,Philippines,PH,Davao del Norte,,74679,74679
Ipil,7.7833,122.5833,Philippines,PH,Zamboanga Sibugay,admin,74656,74656
Pilar,12.9333,123.6833,Philippines,PH,Sorsogon,,74564,74564
San Francisco,8.5050,125.9771,Philippines,PH,Agusan del Sur,,74542,74542
Balagtas,14.8145,120.9085,Philippines,PH,Bulacan,,73929,73929
Gumaca,13.9210,122.1002,Philippines,PH,Quezon,,73877,73877
Barili,10.1167,123.5333,Philippines,PH,Cebu,,73862,73862
Ubay,10.0560,124.4729,Philippines,PH,Bohol,,73712,73712
Virac,13.5833,124.2333,Philippines,PH,Catanduanes,admin,73650,73650
Lambunao,11.0500,122.4833,Philippines,PH,Iloilo,,73640,73640
Cabadbaran,9.1228,125.5346,Philippines,PH,Agusan del Norte,admin,73639,73639
Umingan,15.9000,120.8000,Philippines,PH,Pangasinan,,73252,73252
Mangatarem,15.7874,120.2921,Philippines,PH,Pangasinan,,73241,73241
Narra,9.2833,118.4167,Philippines,PH,Palawan,,73212,73212
Jaen,15.3333,120.9000,Philippines,PH,Nueva Ecija,,73184,73184
Tagoloan,8.5333,124.7500,Philippines,PH,Misamis Oriental,,73150,73150
Calauag,13.9575,122.2875,Philippines,PH,Quezon,,73139,73139
Argao,9.8833,123.6000,Philippines,PH,Cebu,minor,72366,72366
Bongabong,12.7167,121.3667,Philippines,PH,Oriental Mindoro,,72073,72073
Talakag,8.2336,124.6003,Philippines,PH,Bukidnon,,71644,71644
Alicia,16.7787,121.6972,Philippines,PH,Isabela,,71504,71504
Tagaytay,14.1000,120.9333,Philippines,PH,Cavite,,71181,71181
Catanauan,13.5917,122.3250,Philippines,PH,Quezon,,71073,71073
Sipalay,9.7500,122.4000,Philippines,PH,Negros Occidental,,70070,70070
Tupi,6.3333,124.9500,Philippines,PH,South Cotabato,,69976,69976
Pozorrubio,16.1167,120.5500,Philippines,PH,Pangasinan,,69555,69555
Manaoag,16.0439,120.4856,Philippines,PH,Pangasinan,,69497,69497
Santa Rosa,15.4239,120.9389,Philippines,PH,Nueva Ecija,,69467,69467
Bamban,15.6500,120.2500,Philippines,PH,Tarlac,,69466,69466
Bula,13.4667,123.2833,Philippines,PH,Camarines Sur,,69430,69430
Baras,14.5167,121.2667,Philippines,PH,Rizal,,69300,69300
Borongan,11.6000,125.4333,Philippines,PH,Eastern Samar,admin,69297,69297
Dumangas,10.8333,122.7167,Philippines,PH,Iloilo,,69108,69108
Infanta,14.7425,121.6494,Philippines,PH,Quezon,,69079,69079
Bacacay,13.2925,123.7917,Philippines,PH,Albay,,68906,68906
Carles,11.5667,123.1333,Philippines,PH,Iloilo,,68160,68160
Limay,14.5619,120.5983,Philippines,PH,Bataan,,68071,68071
Oas,13.2589,123.4953,Philippines,PH,Albay,,67960,67960
Lala,7.9667,123.7500,Philippines,PH,Lanao del Norte,,67727,67727
Siasi,5.5462,120.8145,Philippines,PH,Sulu,,67705,67705
Tumauini,17.2667,121.8000,Philippines,PH,Isabela,,67650,67650
Tinambac,13.8167,123.3333,Philippines,PH,Camarines Sur,,67572,67572
Miagao,10.6442,122.2352,Philippines,PH,Iloilo,,67565,67565
Dalaguete,9.7612,123.5349,Philippines,PH,Cebu,minor,67497,67497
Bugallon,15.9167,120.1833,Philippines,PH,Pangasinan,,67348,67348
Binalbagan,10.2000,122.8667,Philippines,PH,Negros Occidental,,67270,67270
Bagumbayan,6.5339,124.5633,Philippines,PH,Maguindanao,,67061,67061
Balingasag,8.7500,124.7833,Philippines,PH,Misamis Oriental,,67059,67059
Cawayan,12.0333,123.6833,Philippines,PH,Masbate,,67033,67033
Talibon,10.1167,124.2833,Philippines,PH,Bohol,,66969,66969
Don Carlos,7.6833,125.0000,Philippines,PH,Bukidnon,,66959,66959
Orani,14.8000,120.5333,Philippines,PH,Bataan,,66909,66909
Camalig,13.1500,123.6000,Philippines,PH,Albay,,66904,66904
Pigcawayan,7.2833,124.4333,Philippines,PH,Cotabato,,66796,66796
Brookes Point,8.7833,117.8333,Philippines,PH,Palawan,,66374,66374
San Fernando,10.1667,123.7000,Philippines,PH,Cebu,,66280,66280
Esperanza,6.7167,124.5167,Philippines,PH,Sultan Kudarat,,66095,66095
Pinamungahan,10.2667,123.5833,Philippines,PH,Cebu,,65955,65955
Hermosa,14.8333,120.5000,Philippines,PH,Bataan,,65862,65862
Lupon,6.8981,126.0096,Philippines,PH,Davao Oriental,minor,65785,65785
Aparri,18.3550,121.6419,Philippines,PH,Cagayan,,65649,65649
Indang,14.2000,120.8833,Philippines,PH,Cavite,,65599,65599
San Pascual,13.8000,121.0333,Philippines,PH,Batangas,,65424,65424
Roxas,10.3333,119.3333,Philippines,PH,Palawan,,65358,65358
San Leonardo,15.3667,120.9667,Philippines,PH,Nueva Ecija,,65299,65299
Cuyapo,15.7833,120.6667,Philippines,PH,Nueva Ecija,,65039,65039
Sipocot,13.7667,122.9833,Philippines,PH,Camarines Sur,,64855,64855
Castillejos,14.9333,120.2000,Philippines,PH,Zambales,,64841,64841
Pililla,14.4833,121.3000,Philippines,PH,Rizal,,64812,64812
Alamada,7.3868,124.5534,Philippines,PH,Cotabato,,64596,64596
San Mateo,16.8833,121.5833,Philippines,PH,Isabela,,64505,64505
La Carlota,10.4167,122.9167,Philippines,PH,Negros Occidental,,64469,64469
Bongabon,15.6321,121.1448,Philippines,PH,Nueva Ecija,,64173,64173
Rizal,15.6833,121.1667,Philippines,PH,Nueva Ecija,,64087,64087
La Paz,15.4431,120.7289,Philippines,PH,Tarlac,,64017,64017
Janiuay,10.9500,122.5000,Philippines,PH,Iloilo,,63905,63905
Tuburan,10.7333,123.8333,Philippines,PH,Cebu,,63866,63866
Pateros,14.5417,121.0667,Philippines,PH,Laguna,,63840,63840
Mauban,14.1911,121.7308,Philippines,PH,Quezon,,63819,63819
Victoria,15.5781,120.6819,Philippines,PH,Tarlac,,63715,63715
Agoo,16.3220,120.3647,Philippines,PH,La Union,,63692,63692
Aliaga,15.4988,120.8410,Philippines,PH,Nueva Ecija,,63543,63543
